Sample_ID,Easting,Northing,Na2O_%,MgO_%,Al2O3_%,SiO2_%,P2O5_%,S_mgkg,Cl_mgkg,K2O_%,CaO_%,TiO2_%,MnO_%,Fe2O3_%,Sc_mgkg,V_mgkg,Cr_mgkg,Co_mgkg,Ni_mgkg,Cu_mgkg,Zn_mgkg,Ga_mgkg,Ge_mgkg,As_mgkg,Se_mgkg,Br_mgkg,Rb_mgkg,Sr_mgkg,Y_mgkg,Zr_mgkg,Nb_mgkg,Mo_mgkg,Nd_mgkg,Sm_mgkg,Yb_mgkg,Hf_mgkg,Ta_mgkg,W_mgkg,Tl_mgkg,Pb_mgkg,Bi_mgkg,Th_mgkg,U_mgkg,Ag_mgkg,Cd_mgkg,In_mgkg,Sn_mgkg,Sb_mgkg,Te_mgkg,I_mgkg,Cs_mgkg,Ba_mgkg,La_mgkg,Ce_mgkg,Au_ugkg,Pd_ugkg,Pt_ugkg
584657C,215662,425641,1.4,3,15.9,46,0.22,500,100,3.14,1.3,0.917,1.205,10.73,15.4,132.4,57.7,43.6,33,36.5,188.9,21.4,0.8,48.8,0.9,23.6,109.3,135.4,33.9,323.6,15.7,2.1,46.8,4.7,1.4,7.6,0.5,1.4,0.2,23.1,1.2,11.4,3.2,0.25,0.3,0.25,3.4,0.8,0.25,13.2,3,1109,49,103,3.25,1.48,1.52
584658C,228250,432004,1.1,2.6,12.6,54,0.22,281,13,2.28,1.64,0.996,1.222,9.29,12.6,101,45.8,63.1,37.3,41.1,153.4,16.7,0.6,26.9,0.7,24.5,76.4,137.2,33.8,596.4,14.3,2.3,43.4,7.2,3.4,13.1,0.1,1.5,0.25,24.7,0.6,9.7,3.5,0.25,0.6,0.25,3.7,0.4,0.2,13.6,2,764,46,93,14.66,2.06,1.48
584659C,235759,425197,2,2.4,15.6,65,0.22,500,100,2.46,0.93,0.816,0.366,6.28,13.7,77.8,73.8,31.1,55.2,30,135.5,17,0.4,4,0.6,15.2,80.8,156,23.9,757,15.6,0.7,39.8,6,2.2,18.2,0.5,1.7,0.7,25.6,1.2,9.9,3.1,0.2,0.4,0.25,3.6,0.7,0.1,7.8,2,533,46,86,211.63,1.02,0.97
584660C,234545,420122,1.4,2.1,13.8,51,0.37,131,100,1.92,1.59,1.001,0.141,7.39,14.2,108.2,81.8,20.9,37.1,40.9,138.9,16.3,0.8,2.3,1,41.6,69.4,163,36.3,688.1,18,1.1,67,7.8,2.3,16.2,0.3,1.9,0.5,28.3,1.5,9.1,4.2,0.25,0.5,0.25,3,0.2,0.25,12.1,2,440,76,75,3.6,1.63,1.07
584661C,237921,432995,1.6,1.6,11.9,56,0.23,500,6,2,0.64,0.839,0.172,6.59,13.1,73.3,61.9,16.3,22.6,13.1,74.2,13.7,0.9,10.7,0.3,18.9,62.7,114.4,23.8,1098.1,16.3,0.9,34.7,3.3,1.6,25.9,1,2.1,0.25,18.3,0.6,8.8,2.9,0.25,0.25,0.25,2.1,0.3,0.25,5.4,2,476,37,71,1.43,0.73,0.91
584662C,246125,439792,0.7,1.8,13.3,47,0.27,131,27,3.2,0.87,0.869,0.402,10.44,14.2,89.2,61.4,43,22,11.2,133,16.3,0.4,48.2,0.5,34.7,100.5,83.5,21,549.6,12.8,0.8,31.1,3.6,0.75,12.9,1.5,1.7,0.25,29.8,0.6,9.6,2.1,0.1,0.3,0.3,2.2,0.8,0.2,20,2,704,35,71,1.72,0.76,2.14
584663C,234397,429391,1.5,1.9,19.7,59,0.21,500,100,3.19,0.37,0.79,0.112,6.56,14.9,80.9,78.4,16.2,35.7,22.9,133.2,21.4,1.5,4.9,0.4,14,111.1,180.1,38.9,641.9,22.5,0.9,60.3,7.5,2.6,15.7,1.4,3.4,0.5,24.7,0.5,16,3.3,0.25,0.2,0.25,3.3,0.1,0.25,4.3,3,640,87,161,1.51,0.25,0.55
584665C,238571,429167,1.8,2.3,16.1,61,0.2,500,100,2.61,0.62,0.804,0.476,7.86,15.6,87.6,70.8,36.7,28.7,13.9,83.3,19.2,0.4,10.3,0.1,10.1,84.8,141.1,22.9,545.5,18.2,0.5,36.9,6.1,1.2,13.3,0.5,1.4,0.2,23.4,0.6,8.9,2.6,0.25,0.25,0.25,1.9,0.1,0.25,4.1,2,620,44,82,1.88,0.79,1.05
584666C,238593,427804,1.8,1.5,12.5,66,0.26,500,100,1.88,0.74,0.93,0.555,6.04,7.7,57.7,51.9,37.8,30,15.1,104.7,13,0.3,8.6,0.3,12.1,60.6,124,27.6,1401.4,18.8,0.9,40.5,4.4,3,35.7,0.5,1.9,0.25,16.5,1,10.4,3.9,0.25,0.25,0.25,1.7,0.2,0.25,7.8,2,438,52,99,2.55,0.79,0.82
584667C,236108,432471,2,2.6,13.4,67,0.26,500,100,1.81,1.75,1.07,0.235,6.92,16.2,100.5,77.6,22,32.3,21.2,83.1,15.1,0.9,7.1,0.3,11.9,55.6,162.9,30.3,1326.8,18.1,0.9,39.6,2.5,2.7,31.8,0.5,2.4,0.25,13.4,1.2,9,3.7,0.25,0.25,0.25,2.1,0.25,0.2,7.7,1,407,45,85,233.69,2,1.61
584669C,237931,431115,1.3,3.3,18.5,58,0.15,500,100,3.31,0.44,0.924,0.292,8.65,22.5,136.7,115.8,27.1,47.5,34,116.8,22.7,0.8,3.8,0.1,13.9,108.1,112,26.4,578.3,17.1,0.6,33.7,2.4,2.4,11.3,0.5,1.3,0.25,15.9,1.4,9.9,2.5,0.4,0.25,0.25,1.9,0.6,0.25,6.9,3,964,39,71,2.45,2.13,1.89
584670C,217573,431440,0.8,1.4,10.3,48,0.18,52,57,2.29,1.1,0.659,3.088,10.46,7.3,71.5,40.4,83,26.2,12.7,146.9,12.4,0.6,25.9,0.8,59.9,75.5,85.8,22.1,524.2,11.6,1.9,29.9,2.3,1.7,12.4,1.1,1.4,0.2,24.1,1.1,7.5,2.3,0.25,0.5,0.25,3.2,0.9,0.25,25.7,2,1283,28,66,2.26,1.35,1.23
584671C,227706,430070,0.7,2.5,19.4,57,0.12,500,100,4.48,0.36,0.547,0.459,7.4,14.8,69.3,74.4,39,34.3,15.1,123.8,21.4,0.1,7.1,0.3,14.1,148.2,105.1,24.3,309.4,12.5,0.6,44.8,5.1,1.6,6.5,0.9,1.7,0.7,18.7,1,12.5,3,0.3,0.2,0.25,2.2,0.4,0.25,7.3,4,914,55,107,1.13,0.25,0.7
584672C,216228,422558,1.3,2.6,14.4,50,0.58,114,100,2.9,1.24,0.974,0.912,9.33,15,111.7,67.3,36.5,31.6,38.9,164.5,19,0.6,8.2,1.1,36.1,102.4,152.1,32.1,391,15.6,1.1,43.1,2.6,1.6,8.2,0.8,2.1,0.25,21.7,1,10.1,4,0.25,0.6,0.3,2.7,0.4,0.25,19.8,2,1064,48,90,3.61,2,1.8
584673C,215464,431097,0.3,1.1,9.3,42,0.19,1613,114,2.93,0.47,0.523,0.819,11.22,7,44.1,30.9,60.3,16.9,6,45.9,11.4,0.2,32,0.6,57,101.4,44.1,25.6,644.8,9.7,1.2,31.3,0.7,0.75,14.6,0.2,1.2,0.2,26.1,1.5,9.3,2,0.25,0.25,0.25,3.2,0.5,0.1,15.2,2,706,35,71,3.16,0.76,0.77
584674C,239654,433883,1.6,2.5,16.6,63,0.16,500,100,2.87,0.43,0.899,0.13,6.47,14.8,89.2,80.5,15.5,29.7,8.3,77,18.1,0.7,2.1,0.2,6.3,88.6,104,28,1115.7,19.5,0.7,36.9,3.9,2.7,25.3,0.5,2.3,0.2,11.1,1.3,10.6,3.3,0.25,0.25,0.25,2,0.4,0.25,1.9,2,586,47,88,2.96,0.66,0.9
584675C,239165,433764,1.6,2,15.3,60,0.12,10,44,2.58,0.51,0.929,0.087,4.77,11.9,83.8,79.7,13,25.7,17,66.9,18.3,0.5,0.1,0.4,25.1,85.2,123.2,26.1,579.7,18.8,0.4,30.8,4.7,1.6,13,0.5,1.9,0.1,16.1,0.8,10.1,2.7,0.25,0.1,0.25,1.6,0.1,0.2,2.6,3,524,41,76,1.93,0.67,0.92
584676C,218592,430731,1.1,2.6,13.9,35,0.22,257,40,3.2,1.12,0.816,3.845,12.76,17.7,109,59,147,82.6,26.5,348.9,19.2,1.4,13.8,1.5,34,114.8,146.4,44.7,342.5,16.5,2,63,5.6,2.5,6.3,0.2,2.4,0.25,27.1,1.4,11.2,3.8,0.25,2.8,0.25,2.4,1.7,0.25,31.9,4,2316,66,151,3.21,1.55,1.28
584678C,238410,428178,1.3,2,12.3,50,0.29,500,30,2.22,0.84,0.757,1.196,10.58,13,84.3,70.9,139.5,114.1,34.8,214.6,14.5,1,19.4,0.5,27.9,71.5,110.1,34.5,694.9,14.7,1.2,43.5,3.7,1.3,16.1,0.3,1,0.3,19.8,1.3,9.2,2.7,0.2,0.5,0.2,2.2,0.3,0.1,10.6,2,711,46,90,1.81,1.09,1.33
584681C,236692,425603,1.8,2,13.2,63,0.25,500,100,1.92,1.07,0.912,0.421,5.67,8.8,73.3,70,33.8,64.2,22,132,13.6,0.5,3.4,0.7,17.9,62.5,151.1,27.2,1078.6,17.2,1,37.7,4.6,3.3,25.9,0.2,2.1,0.6,18,1.5,10.2,3.3,0.25,0.4,0.25,2.4,0.6,0.1,7.1,1,442,44,82,5.15,1.19,1.02
584682C,237779,432977,1,1.4,11.2,40,0.38,643,46,1.77,0.88,0.642,0.226,8.6,11.8,70.5,58.6,16.9,23.6,17.8,82.1,15,0.1,19.5,0.8,37,60.2,124.7,20.8,326.7,13.6,0.7,33,1.9,1.5,8.8,1.3,1.2,0.25,31,0.8,9.1,2.1,0.25,0.3,0.25,1.8,0.3,0.25,16.4,2,453,36,68,2.35,0.8,0.94
584683C,245095,432113,1.4,4,15.8,60,0.2,500,29,2.78,2,0.937,0.733,8.58,18.5,110.3,53.9,28.8,28.4,35.8,126.9,19.5,0.8,19.4,0.4,10.6,94,201,30.5,281,15,1.7,37.5,2.6,1.5,5.9,0.3,1.5,0.2,13.3,1.1,9.5,2.8,0.2,0.3,0.25,2.5,0.8,0.25,7.1,3,869,38,79,3.56,1.82,1.44
584684C,241561,436073,0.3,1.3,13.4,53,0.11,500,49,3.31,0.34,0.632,1.486,10,7.6,68.2,53.8,130.6,23.5,9.3,101.2,16.1,0.7,36.6,0.3,59.2,104.4,48.9,23.4,705.7,11.3,0.8,35.3,0.2,1.6,15.8,0.5,1.5,0.4,34.9,1.1,10.4,2.4,0.25,0.2,0.25,1.6,0.7,0.25,25.7,2,631,44,89,1.44,0.5,0.61
584685C,221058,428172,1.3,3,13.1,49,0.32,44,100,2.4,1.59,0.727,2.446,9.26,14.6,82.7,49.6,39.8,36.3,23.2,169.7,16.7,0.4,5.5,1.6,19.2,86.6,177.1,40.5,346.5,15.5,1.6,52.9,6.2,3.2,9.1,0.5,1.9,0.25,22.5,1.2,10.4,6.9,0.25,0.7,0.25,1.9,0.8,0.25,13.7,3,1521,62,104,23.12,1.67,0.84
584687C,239635,430853,1.3,2.1,15.4,56,0.17,129,100,2.81,0.53,0.881,0.133,6.5,13.9,88.5,84.9,22.5,32,14.3,90.3,17.3,0.2,1.9,0.2,10.3,90.2,100.7,27.6,648.8,18.4,0.3,37.5,7.1,1.1,15.4,1.9,2.7,0.5,13,0.4,9.4,2.7,0.25,0.25,0.25,2.1,0.5,0.25,2.4,2,570,44,82,1.21,1.07,0.99
584688C,215930,430194,1.2,2.1,11,55,0.14,81,86,2.22,1.42,0.797,0.672,9.99,11.5,88.7,47.6,36.7,20.1,12.9,65.3,13.6,1.1,45.3,0.5,56.7,74.6,90,22.3,494.8,11.7,1.8,30.5,2.5,2.3,11.4,0.5,0.8,0.8,35.3,0.9,7.3,2.3,0.25,0.1,0.2,2.4,0.5,0.25,13.7,2,576,29,57,1.86,2.22,2
584649C,214989,426073,1.5,2.7,17.1,48,0.22,500,100,3.65,0.67,0.744,0.826,8.66,16.1,133.5,68,39.8,35.5,22.3,186.2,23.3,0.5,19.7,1.1,20.9,130.1,130.3,34.3,369.1,17.9,1.6,48.5,3.8,1.9,8.9,1,2.4,0.25,28.7,1.5,11.5,4.1,0.25,0.3,0.1,3.3,0.8,0.25,10.2,4,1277,53,107,31.25,1.22,0.69
584650C,215029,425817,1.6,3.4,12.9,48,0.42,500,100,1.84,3.82,1.697,0.722,15.06,23.5,177.2,34.2,46.1,26.1,179.3,173.6,23.5,1.1,31.4,0.3,14.7,81.7,187.2,49.3,337,18.7,1.8,48.5,2.3,2.8,7.9,1.4,2,0.1,15.5,0.9,6.5,1.9,0.5,0.1,0.25,2.6,0.7,0.25,5.6,5,809,42,93,5.95,3.01,3.48
584651C,227336,432196,1.1,3.7,16.5,55,0.15,500,100,3.15,1.23,0.819,0.833,8.91,17.1,99.4,57.3,48.7,35.9,31.9,138.4,20.6,0.8,16.1,0.3,11.4,108.3,157.1,32.3,258.1,14.1,2.1,47.1,6.3,1.8,6,1.8,2.5,0.25,17.7,0.2,10.7,2.6,0.25,0.25,0.25,2.6,0.5,0.25,9.2,3,1051,49,91,1.58,1.45,0.89
584652C,234968,436875,1.3,3.6,17.4,51,0.23,500,100,3.48,0.77,0.658,1.218,9.02,14.9,86.1,66.7,42.5,37.6,23.8,161.2,21.3,0.3,26.6,0.5,10.3,120.3,188.2,31.1,303.6,14.9,1.9,42.2,1.5,0.8,8.9,0.5,2,0.5,17.7,1.1,11.2,3.2,0.25,0.1,0.25,2.5,0.7,0.1,9.8,3,1045,53,104,1.15,0.7,0.47
584653C,240808,434008,1,2.4,12.5,42,0.24,500,100,2.37,0.65,0.739,1.755,13.76,15.5,89.5,82.4,62.4,37.9,17.1,145.1,15.6,1.3,41.6,0.4,22.3,75,108.4,21.8,532.2,15.3,0.9,34.6,1.5,0.5,12.4,0.8,1.3,0.3,16.5,1.3,8.5,1.5,0.25,0.1,0.25,1.9,0.7,0.1,12.8,2,759,34,71,2.32,0.75,0.73
584655C,221774,430953,1.5,3.2,16.1,49,0.22,500,100,3.04,1.09,0.776,1.085,8.31,15.9,123.8,60.3,30.2,32.1,29,150.9,21,1.9,17.9,0.9,22.1,107.4,170,35.4,287.7,16.8,2,47.8,5.1,0.7,7,0.8,2,0.5,21.2,1.6,11.1,3.4,0.25,0.1,0.25,2.8,0.9,0.25,10.5,4,1103,55,113,23.41,1.37,0.78
584689C,229147,432889,1,3.4,16.4,59,0.18,500,100,3.52,0.83,0.746,0.858,7.17,13,84.5,53.2,41.7,35.9,27,153.5,20.6,0.9,9.2,0.7,9.9,115.7,120.1,29,281.9,13.4,0.9,37.4,5.5,1.6,6.4,0.5,1.9,0.25,14.1,1.4,9.7,2.3,0.25,0.1,0.25,2.5,0.5,0.25,12.6,3,1081,42,78,2.16,1.07,1.07
584691C,215689,426837,1.2,1.8,14.3,45,0.25,162,7,3.24,0.98,0.932,0.84,9.21,12.5,112.6,62.1,38.1,32.4,31.2,241.5,18.8,1.1,27.7,0.9,47.1,112.5,146.9,38.8,514.1,17.8,1.2,53.5,5.4,2.8,12.2,0.1,2.8,0.25,103.2,0.9,12.8,4,0.25,0.5,0.1,2.8,1.8,0.25,13.3,5,2201,55,114,3.62,1.72,1.31
584692C,239611,434661,0.7,1.3,10.3,45,0.18,76,30,2.09,0.95,0.842,1.144,12.66,11.9,68.1,43.4,60.9,33.1,17.1,214.1,11.8,0.2,50,0.9,96.3,67.1,75,28.4,1911.9,12.7,1.4,44,5,0.7,46.9,0.5,1.6,0.25,28.4,1.2,9.5,5.2,0.25,0.4,0.25,9.5,0.3,0.25,40.3,1,513,51,103,367.62,1.6,1.08
584693C,243173,435852,1.3,1.8,16.4,57,0.07,500,100,3.46,0.27,0.599,0.349,8.5,10.4,71.1,69.6,32.1,17,7.2,87.7,20,0.8,23.4,0.2,17.5,110.4,63.3,15.3,457.9,10.2,0.3,30.3,2.9,0.5,11,0.5,0.9,0.2,12.5,1.1,8.8,1.6,0.25,0.25,0.25,1.4,0.1,0.25,6.4,2,637,43,83,1.51,0.25,0.6
584694C,237756,429659,1.8,5.2,18.3,58,0.2,500,100,2.45,1.94,1.02,0.185,9.7,22.6,169.1,152.4,31,68.1,40,111.5,21.5,1,1,0.2,3.6,76.8,146.9,24.8,541.3,14.3,0.3,32.4,4.3,0.9,12.8,1.2,1.3,0.25,11.5,1.4,7.8,2.8,0.2,0.3,0.25,1.7,0.4,0.4,1.1,2,602,36,67,1.27,2.17,2.61
584695C,243862,436509,0.6,2.2,20.3,54,0.08,500,100,4.93,0.21,0.687,0.207,6.9,14,91.3,84.7,27.7,24.2,15,114.9,23.9,1,15.8,0.4,17.3,157.3,69.6,20.5,421.2,13.2,0.4,32.9,5.4,0.6,10.3,0.6,1.7,0.9,21.5,1.4,12.4,2.2,0.6,0.25,0.2,1.8,0.6,0.25,4.6,3,939,46,85,2.18,0.78,1.13
584696C,235330,436914,1.2,3.7,17.8,54,0.15,500,100,3.5,0.62,0.626,0.583,7.14,13.9,81.9,95.1,31.9,38,14.7,163.5,21.1,0.7,9.5,0.8,11.3,116.2,179,31.4,323.1,14.1,0.9,39.2,4.5,2,7.3,0.5,3.2,0.1,15.3,0.7,11.5,2.7,0.4,0.4,0.2,2.5,0.2,0.25,10.1,3,980,50,98,1.74,0.83,0.75
